license_plate,price,make,mileage,year,fuel_type,transmission,body_type,engine_size,car_tier,engine_tier,year_band
SY17KFO,5295.0,PEUGEOT,89000.0,2017.0,Diesel,Manual,Estate,1.6,T1,1-2L,2015-2019
FT59BXE,4299.0,VOLKSWAGEN,44989.0,2010.0,Petrol,Manual,Hatchback,1.2,T2,1-2L,2010-2014
LL15XOT,8245.0,NISSAN,48678.0,2015.0,Petrol,Automatic,Hatchback,1.6,T3,1-2L,2015-2019
SV54MDN,2095.0,MERCEDES,88465.0,2004.0,Petrol,Automatic,Saloon,1.8,T1,1-2L,<2010
LM64BUH,8695.0,NISSAN,39560.0,2014.0,Petrol,Automatic,Hatchback,1.6,T3,1-2L,2010-2014
YG12LLW,4895.0,NISSAN,92200.0,2012.0,Diesel,Manual,Hatchback,1.6,T3,1-2L,2010-2014
PF65ONZ,13745.0,SKODA,50046.0,2015.0,Diesel,Semi-auto,Estate,2.0,T3,1-2L,2015-2019
SK12OTB,4600.0,NISSAN,88000.0,2012.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
SG61CUJ,2999.0,RENAULT,57000.0,2011.0,Petrol,Manual,Hatchback,1.1,T2,1-2L,2010-2014
NV62TXT,5000.0,VOLVO,91500.0,2012.0,Diesel,Manual,Hatchback,1.6,T2,1-2L,2010-2014
LB62JWD,12990.0,MERCEDES,75000.0,2012.0,Diesel,Automatic,Estate,2.1,T1,2-3L,2010-2014
MF65HMY,18990.0,VOLKSWAGEN,77844.0,2015.0,Petrol,Semi-auto,Hatchback,2.0,T2,1-2L,2015-2019
DV57OWF,2500.0,MINI,132000.0,2007.0,Diesel,Manual,Hatchback,1.6,T2,1-2L,<2010
HG13UJU,6394.0,VAUXHALL,86000.0,2013.0,Diesel,Automatic,Hatchback,1.7,T3,1-2L,2010-2014
AK13XBS,7000.0,VOLKSWAGEN,71000.0,2013.0,Diesel,Semi-auto,Hatchback,1.6,T2,1-2L,2010-2014
WM14UNY,5454.0,VOLKSWAGEN,51760.0,2014.0,Petrol,Manual,Hatchback,1.0,T2,0-1L,2010-2014
BK63LKN,7995.0,NISSAN,70333.0,2013.0,Petrol,Automatic,Hatchback,1.6,T3,1-2L,2010-2014
FY56TFZ,1795.0,PEUGEOT,75000.0,2006.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,<2010
KJ08EYF,3850.0,MERCEDES,65000.0,2008.0,Diesel,Automatic,Mpv,2.0,T1,1-2L,<2010
HK05UPD,19500.0,LAND ROVER,96263.0,2005.0,Diesel,Manual,Estate,2.5,T1,2-3L,<2010
EA09LWF,1695.0,FORD,131000.0,2009.0,Diesel,Manual,Estate,1.6,T3,1-2L,<2010
LL67BPV,11290.0,KIA,92127.0,2018.0,Hybrid,Automatic,Estate,1.6,T3,1-2L,2015-2019
NH06JYR,1575.0,HONDA,110491.0,2006.0,Petrol,Manual,Hatchback,1.8,T2,1-2L,<2010
SY12UBK,3800.0,FORD,68250.0,2012.0,Petrol,Automatic,Hatchback,1.4,T3,1-2L,2010-2014
PY07BWG,7450.0,LEXUS,71475.0,2007.0,Hybrid,Automatic,Estate,3.3,T1,>3L,<2010
MM64MXK,7495.0,FORD,91242.0,2015.0,Diesel,Manual,Hatchback,1.5,T3,1-2L,2015-2019
FT56BKE,2295.0,HONDA,90000.0,2007.0,Petrol,Automatic,Hatchback,1.3,T2,1-2L,<2010
SB08MYR,1995.0,FORD,85984.0,2008.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,<2010
WN14WCT,4495.0,FORD,83000.0,2014.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
FL15XGP,7000.0,FORD,67000.0,2015.0,Diesel,Manual,Mpv,1.5,T3,1-2L,2015-2019
HN65JUV,4299.0,KIA,79880.0,2015.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
P50FLS,3699.0,FORD,81175.0,2008.0,Diesel,Manual,Hatchback,2.2,T3,2-3L,<2010
GP08FSL,5000.0,HONDA,72000.0,2008.0,Hybrid,Automatic,Saloon,1.3,T2,1-2L,<2010
LC62OBH,4750.0,KIA,53062.0,2012.0,Diesel,Manual,Hatchback,1.4,T3,1-2L,2010-2014
KU61JYF,2995.0,FIAT,62700.0,2011.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
NU59SKE,1755.0,HYUNDAI,113192.0,2009.0,Diesel,Manual,Hatchback,1.6,T3,1-2L,<2010
EJ61TXS,4695.0,FORD,67512.0,2011.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
NJ14VWY,5295.0,FORD,50280.0,2014.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
NU10LKE,2490.0,HYUNDAI,76750.0,2010.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
SM69CEJ,18499.0,DS,9198.0,2019.0,Petrol,Semi-auto,Suv,1.2,T2,1-2L,2015-2019
WV17OMW,8910.0,DS,15839.0,2017.0,Petrol,Manual,Hatchback,1.2,T2,1-2L,2015-2019
LD14HXU,20421.0,BMW,27592.0,2014.0,Petrol,Automatic,Convertible,2.0,T1,1-2L,2010-2014
LS13WHF,8900.0,AUDI,54600.0,2013.0,Diesel,Manual,Saloon,2.0,T1,1-2L,2010-2014
AE64SCX,5290.0,DACIA,48321.0,2014.0,Petrol,Manual,Estate,1.2,T3,1-2L,2010-2014
GC16XKU,22990.0,BMW,54000.0,2016.0,Diesel,Automatic,Saloon,3.0,T1,2-3L,2015-2019
CN63XKX,7795.0,BMW,52000.0,2013.0,Diesel,Manual,Hatchback,1.6,T1,1-2L,2010-2014
LR64NZA,11295.0,AUDI,30000.0,2014.0,Diesel,Manual,Saloon,2.0,T1,1-2L,2010-2014
FH15DKL,29990.0,BMW,58000.0,2015.0,Diesel,Automatic,Estate,3.0,T1,2-3L,2015-2019
CF19SFE,9495.0,DACIA,19702.0,2019.0,Petrol,Manual,Estate,0.9,T3,0-1L,2015-2019
KP65LOA,7000.0,DS,30656.0,2015.0,Diesel,Manual,Hatchback,1.6,T2,1-2L,2015-2019
WN65YRJ,4999.0,FIAT,34800.0,2015.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
YR13KVK,4450.0,CITROEN,47692.0,2013.0,Diesel,Semi-auto,Hatchback,1.4,T3,1-2L,2010-2014
YF57FVE,4490.0,BMW,118749.0,2007.0,Diesel,Automatic,Estate,3.0,T1,2-3L,<2010
DG68CLV,8499.0,DACIA,12854.0,2018.0,Diesel,Manual,Estate,1.5,T3,1-2L,2015-2019
SW18NYH,31495.0,AUDI,24000.0,2018.0,Diesel,Semi-auto,Convertible,3.0,T1,2-3L,2015-2019
SK13CAO,7995.0,BMW,83626.0,2013.0,Diesel,Automatic,Saloon,2.0,T1,1-2L,2010-2014
DV18ZLU,10480.0,DS,9000.0,2018.0,Petrol,Manual,Hatchback,1.2,T2,1-2L,2015-2019
NU64CGG,4199.0,CITROEN,60700.0,2014.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
GU12GYS,6595.0,AUDI,73000.0,2012.0,Diesel,Manual,Hatchback,1.6,T1,1-2L,2010-2014
KN16OGJ,8700.0,ABARTH,29650.0,2016.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
FM04OSS,6699.0,DACIA,60000.0,2018.0,Diesel,Manual,Hatchback,1.5,T3,1-2L,2015-2019
SW19MXO,13000.0,DACIA,31150.0,2019.0,Petrol,Manual,Suv,1.3,T3,1-2L,2015-2019
AK66YNR,6995.0,DACIA,57590.0,2016.0,Petrol,Manual,Hatchback,0.9,T3,0-1L,2015-2019
PN18AKO,7800.0,DACIA,24259.0,2018.0,Petrol,Manual,Hatchback,0.9,T3,0-1L,2015-2019
BD20WFW,12790.0,DACIA,11800.0,2020.0,Petrol,Manual,Suv,1.0,T3,0-1L,>2020
CV65ZHK,5995.0,DACIA,50000.0,2015.0,Petrol,Manual,Estate,0.9,T3,0-1L,2015-2019
LY66GZZ,5800.0,DACIA,34941.0,2016.0,Petrol,Manual,Hatchback,0.9,T3,0-1L,2015-2019
HK69YBF,12790.0,DACIA,14013.0,2019.0,Petrol,Manual,Suv,1.3,T3,1-2L,2015-2019
LJ18YNE,12690.0,ABARTH,18118.0,2018.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
CU20OAE,7995.0,DACIA,2500.0,2020.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,>2020
SH65PKX,5951.0,DACIA,19613.0,2015.0,Petrol,Manual,Hatchback,0.9,T3,0-1L,2015-2019
KV19HFY,17700.0,ABARTH,4231.0,2019.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
KM18YMA,11600.0,ABARTH,12659.0,2018.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
BW19TBO,12350.0,DACIA,16018.0,2019.0,Petrol,Manual,Suv,1.6,T3,1-2L,2015-2019
KN66XFK,10046.0,ABARTH,26421.0,2016.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
BSZ3015,7395.0,DACIA,76124.0,2017.0,Diesel,Manual,Suv,1.5,T3,1-2L,2015-2019
HF67KGO,12590.0,ABARTH,22000.0,2017.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,2015-2019
AK18NCN,10495.0,DACIA,30390.0,2018.0,Diesel,Manual,Suv,1.5,T3,1-2L,2015-2019
CU68YGH,10795.0,DACIA,11763.0,2019.0,Petrol,Manual,Suv,1.6,T3,1-2L,2015-2019
HS21LLA,39990.0,VOLVO,299.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
SM21AUW,37000.0,VOLVO,10.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
HV69ZNA,30990.0,VOLVO,4169.0,2020.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
FV69UAE,29980.0,VOLVO,6000.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
EO21WVF,29995.0,VOLVO,4000.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
YJ21ASF,39490.0,VOLVO,1055.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
SH15FYS,10495.0,INFINITI,40875.0,2015.0,Diesel,Semi-auto,Saloon,2.2,T1,2-3L,2015-2019
KP70JKE,43990.0,VOLVO,3515.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
SM21KUR,37500.0,VOLVO,10.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
KX21TYK,19419.0,ABARTH,5.0,2021.0,Petrol,Manual,Hatchback,1.4,T3,1-2L,>2020
RV67UJS,12980.0,INFINITI,21000.0,2017.0,Diesel,Semi-auto,Saloon,2.2,T1,2-3L,2015-2019
SN21KBP,37000.0,VOLVO,10.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
KT18VLH,33850.0,VOLVO,17900.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
KR70LTE,40990.0,VOLVO,3093.0,2020.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
OE18SUA,33490.0,VOLVO,29998.0,2018.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
HX21OUG,43990.0,VOLVO,398.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
SM21KNX,40500.0,VOLVO,2000.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KR70LUY,43990.0,VOLVO,5425.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS70PZD,43990.0,VOLVO,2213.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
HS21RPO,46990.0,VOLVO,544.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KO21AFX,43950.0,VOLVO,1130.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS21BTU,33950.0,VOLVO,1320.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
FX69JKF,29995.0,VOLVO,34753.0,2019.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
KT21UMD,43950.0,VOLVO,1162.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS21FRV,30450.0,VOLVO,998.0,2021.0,Petrol,Manual,Suv,1.5,T2,1-2L,>2020
KS21CFO,31950.0,VOLVO,1019.0,2021.0,Petrol,Manual,Suv,1.5,T2,1-2L,>2020
KR21YGP,32450.0,VOLVO,980.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
KR70LVJ,43950.0,VOLVO,6377.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS21PYZ,43950.0,VOLVO,1200.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
FH21HBN,30980.0,VOLVO,5246.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
YR70CWG,36500.0,VOLVO,973.0,2020.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
KM70XXD,43990.0,VOLVO,2852.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS21OFR,42450.0,VOLVO,1187.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
FH21HBG,42980.0,VOLVO,5681.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KR21YGL,37950.0,VOLVO,1130.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KN70HKW,38950.0,VOLVO,6410.0,2020.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
KS21HLN,43950.0,VOLVO,1230.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
KS21RBF,43950.0,VOLVO,1107.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
DK68JXD,26500.0,VOLVO,24230.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
KS21NKJ,44250.0,VOLVO,1230.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
HR19EZJ,24500.0,VOLVO,11139.0,2019.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
BG18LWM,21990.0,VOLVO,42106.0,2018.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
KR70LVV,44980.0,VOLVO,6064.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
ND21XLA,38000.0,VOLVO,127.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
RO21FBL,33990.0,VOLVO,2500.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
RE21SDZ,33490.0,VOLVO,2500.0,2021.0,Petrol,Semi-auto,Suv,1.5,T2,1-2L,>2020
AJ19WDK,34000.0,VOLVO,15065.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
EY67ELJ,22495.0,VOLVO,29200.0,2017.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
VU18KYE,22490.0,VOLVO,25380.0,2018.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
ST21RVP,43995.0,VOLVO,10.0,2021.0,Hybrid,Semi-auto,Saloon,2.0,T2,1-2L,>2020
FP21MVE,45980.0,VOLVO,5821.0,2021.0,Hybrid,Semi-auto,Saloon,2.0,T2,1-2L,>2020
KP70PKC,41500.0,VOLVO,1092.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
FX19NHY,23000.0,VOLVO,49210.0,2019.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
YH21DFO,43000.0,VOLVO,984.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
YW19VYT,22000.0,VOLVO,15020.0,2019.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
RE21SJV,36990.0,VOLVO,2000.0,2021.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,>2020
KR70NFA,44500.0,VOLVO,4840.0,2020.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
YC21NYP,39000.0,VOLVO,2650.0,2021.0,Hybrid,Semi-auto,Suv,1.5,T2,1-2L,>2020
YF21LYO,33000.0,VOLVO,995.0,2021.0,Petrol,Manual,Suv,1.5,T2,1-2L,>2020
YE21OXP,32000.0,VOLVO,2571.0,2021.0,Petrol,Manual,Suv,1.5,T2,1-2L,>2020
AE69HSX,26000.0,VOLVO,10397.0,2019.0,Petrol,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
YY18XBE,23980.0,VOLVO,46464.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
HD21BJV,36990.0,VOLVO,1001.0,2021.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,>2020
KY67UWV,27995.0,VOLVO,25443.0,2017.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KN67WWC,21490.0,VOLVO,39522.0,2017.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
LM19WZP,30995.0,VOLVO,16626.0,2019.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
AY19FGA,28995.0,VOLVO,13124.0,2019.0,Petrol,Manual,Suv,1.5,T2,1-2L,2015-2019
SP19OLH,23000.0,VOLVO,26596.0,2019.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YY67XGV,24990.0,VOLVO,44363.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YX18KDF,17000.0,VOLVO,89227.0,2018.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
KO19OLJ,26000.0,VOLVO,14002.0,2019.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
FH19XZA,23995.0,VOLVO,19860.0,2019.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KW18XUJ,25475.0,VOLVO,44451.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KV20TPU,34000.0,VOLVO,2000.0,2020.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,>2020
YF18OGH,17500.0,VOLVO,99784.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KV20SJY,33000.0,VOLVO,6510.0,2020.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,>2020
GY67YFD,27500.0,VOLVO,42738.0,2017.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YO68CKC,23000.0,VOLVO,18383.0,2018.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
KR19RVM,26000.0,VOLVO,17831.0,2019.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YE68ETC,20990.0,VOLVO,12910.0,2019.0,Diesel,Semi-auto,Saloon,2.0,T2,1-2L,2015-2019
KR70FVM,43590.0,VOLVO,5461.0,2020.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,>2020
YT18AVG,22000.0,VOLVO,15090.0,2018.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
ST21WFF,40000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
SM21KUN,46000.0,VOLVO,2000.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
ST21ZDE,42000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
SM21KNZ,40000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
KR19EOZ,29990.0,VOLVO,9583.0,2019.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KU18UVL,22000.0,VOLVO,65417.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
CT68FZM,26995.0,VOLVO,22288.0,2019.0,Petrol,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KL19HHZ,25500.0,VOLVO,17591.0,2019.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YG20EXE,29000.0,VOLVO,4873.0,2020.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,>2020
GF19ZPR,32650.0,VOLVO,14104.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
AV18KNL,24000.0,VOLVO,30388.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
YB18SBO,18000.0,VOLVO,26837.0,2018.0,Petrol,Manual,Estate,2.0,T2,1-2L,2015-2019
SK20WXX,45980.0,VOLVO,4737.0,2020.0,Hybrid,Semi-auto,Estate,2.0,T2,1-2L,>2020
YS18HKV,19500.0,VOLVO,7244.0,2018.0,Petrol,Manual,Estate,2.0,T2,1-2L,2015-2019
EK21XXW,35995.0,VOLVO,2000.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
ST21ZXN,40000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
RX18MLZ,17990.0,VOLVO,32548.0,2018.0,Diesel,Semi-auto,Estate,2.0,T2,1-2L,2015-2019
KM70WWL,33000.0,VOLVO,10208.0,2020.0,Hybrid,Semi-auto,Estate,2.0,T2,1-2L,>2020
LL19HRO,36990.0,VOLVO,5190.0,2019.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
NK20HHM,42500.0,VOLVO,2850.0,2020.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
FY66NXT,19995.0,VOLVO,51962.0,2016.0,Diesel,Semi-auto,Suv,2.4,T2,2-3L,2015-2019
VF19YHS,32000.0,VOLVO,14565.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
SL21NNO,40000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
PN16VPZ,19500.0,VOLVO,51892.0,2016.0,Diesel,Manual,Suv,2.4,T2,2-3L,2015-2019
BG17GZF,20490.0,VOLVO,43325.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
HS21SOH,45990.0,VOLVO,365.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
YT18ZXL,31500.0,VOLVO,23751.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
GD66LUR,21995.0,VOLVO,33001.0,2016.0,Diesel,Semi-auto,Suv,2.4,T2,2-3L,2015-2019
OE17UXU,21995.0,VOLVO,26771.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
YR17FDK,18990.0,VOLVO,55786.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
NU17LVP,19950.0,VOLVO,50075.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
LS65JUY,15250.0,VOLVO,77432.0,2015.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
SM21GRZ,36500.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
SM21MYA,36500.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
YX19HBU,31000.0,VOLVO,21687.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
SM21BFP,36500.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
SN21KCF,40000.0,VOLVO,10.0,2021.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,>2020
HF21OKR,36990.0,VOLVO,1001.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
DF18EZN,28995.0,VOLVO,24657.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
DF17GVD,23000.0,VOLVO,23555.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
YE70SMO,45000.0,VOLVO,4986.0,2020.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
DA67YPG,31000.0,VOLVO,31300.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
YJ68NPA,28000.0,VOLVO,27004.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
KS18VNZ,28000.0,VOLVO,18559.0,2018.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
LL18HJJ,28500.0,VOLVO,22157.0,2018.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
RX18MVF,31990.0,VOLVO,62001.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
FX16NDZ,19995.0,VOLVO,31337.0,2016.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
LD18CVS,27000.0,VOLVO,32381.0,2018.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
DV18HNC,25500.0,VOLVO,41009.0,2018.0,Diesel,Manual,Suv,2.0,T2,1-2L,2015-2019
VK18WFP,28000.0,VOLVO,17167.0,2018.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
YC21HWW,46000.0,VOLVO,2334.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
KR70FWZ,44950.0,VOLVO,6889.0,2020.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,>2020
KF17JKO,22980.0,VOLVO,47633.0,2017.0,Diesel,Manual,Suv,2.0,T2,1-2L,2015-2019
YN18LCX,34990.0,VOLVO,57839.0,2018.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
YL70DZE,44500.0,VOLVO,3965.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
FD21ZFM,42950.0,VOLVO,3987.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
YF19FHV,32000.0,VOLVO,32301.0,2019.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
DA70JWY,34000.0,VOLVO,7854.0,2020.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
DF69KYT,46000.0,VOLVO,6700.0,2019.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
WP21EZD,62390.0,VOLVO,3.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
HG21NKE,46990.0,VOLVO,1001.0,2021.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,>2020
KW20HCU,65990.0,VOLVO,8129.0,2020.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
YE18FTO,26000.0,VOLVO,33433.0,2018.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
WD19EJE,40000.0,VOLVO,19207.0,2019.0,Petrol,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
GF16KXT,32490.0,VOLVO,54000.0,2016.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
SM21MXX,61000.0,VOLVO,10.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
KS67BZG,34000.0,VOLVO,53598.0,2017.0,Diesel,Semi-auto,Suv,2.0,T2,1-2L,2015-2019
WP21EJC,66390.0,VOLVO,3.0,2021.0,Hybrid,Semi-auto,Suv,2.0,T2,1-2L,>2020
